exp_id,exercise,model_type,best_test_loss,best_epoch,created_at,finished_at,epochs,seq_len,batch_size,lr,hidden_dim,latent_dim,num_layers,dropout,early_stop_patience,json_file,output_dir,experiment_id,test_ratio,autoregressive,d_model,nhead,gpu_id
36e5f07a,romanian_deadlift,rae,0.09769003533306178,40,2026-04-22T14:46:22.603297,2026-04-22T14:51:11.417940,50.0,15.0,,,128.0,32.0,,,,,,,,,,,
eff11253,incline_bench_press,rae,0.04511849409484899,18,2026-04-22T14:41:57.622587,2026-04-22T14:45:41.087961,50.0,15.0,,,128.0,64.0,,,,,,,,,,,
a512de39,lateral_raise,rae,0.002712974294813143,49,2026-04-22T15:48:24.194725,2026-04-22T15:53:50.806626,50.0,15.0,32.0,0.001,64.0,64.0,1.0,0.2,10.0,,,,,,,,
309f10fc,chest_fly_machine,rae,0.041536625419138815,2,2026-04-22T14:54:26.225591,2026-04-22T14:57:05.977415,50.0,30.0,,,128.0,64.0,,,,,,,,,,,
edff710b,leg_raises,rae,0.08812489074831795,3,2026-04-22T16:04:35.484568,2026-04-22T16:18:21.266021,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
d04316fb,plank,rae,0.23171923547097953,1,2026-04-22T14:16:27.394880,2026-04-22T14:21:00.734808,50.0,30.0,,,64.0,32.0,,,,,,,,,,,
88042396,decline_bench_press,rae,0.15968214859674265,5,2026-04-22T15:05:22.670197,2026-04-22T15:18:13.766487,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
004c9210,pull_Up,rae,0.03528242494149875,4,2026-04-22T16:04:35.483036,2026-04-22T16:17:42.109046,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
8fd43a8c,decline_bench_press,rae,0.09920543067227462,48,2026-04-22T14:35:34.234472,2026-04-22T14:38:51.596206,50.0,15.0,,,128.0,32.0,,,,,,,,,,,
9388f831,plank,rae,0.2528255460285904,2,2026-04-22T14:20:46.714626,2026-04-22T14:25:45.069499,50.0,30.0,,,128.0,32.0,,,,,,,,,,,
4230cfeb,romanian_deadlift,rae,0.14180833956585873,48,2026-04-22T14:44:15.771082,2026-04-22T14:52:11.505204,50.0,30.0,,,64.0,32.0,,,,,,,,,,,
